,name,area,address,latitude,longitude
20898,치킨사냥,가양,서울특별시 강서구 가양동 1458-5,37.570495,126.84307700000001
20905,치킨사냥,온수역,서울특별시 구로구 온수동 23-26,37.4922,126.821846
20908,치킨사랑,괴안동,경기도 부천시 괴안동 31-25,37.478685999999996,126.80408200000001
20909,치킨사랑,초당동,강원도 강릉시 초당동 174-17,37.786048,128.914493
20910,치킨사랑,가재동,경기도 평택시 가재동 138-35,37.03925,127.08541100000001
20911,치킨사랑,감만1동,부산광역시 남구 감만1동 171-10,35.11622,129.08208
20912,치킨사랑,외동,경상남도 김해시 외동 705-1,35.235310999999996,128.85228899999998
20913,치킨사랑,부천,경기도 부천시 범박동 204-5,37.473914,126.81208899999999
20915,치킨삼파전,남항동2가,부산광역시 영도구 남항동2가 48,35.08967,129.037678
20916,치킨삼파전,평산동,경상남도 양산시 평산동 634-3,35.373034000000004,129.143274
20920,치킨삼파전,삼호동,경상남도 양산시 삼호동 834-17,35.408955,129.170027
20924,치킨생각,동두천동,경기도 동두천시 동두천동 224-14,37.926178,127.05221399999999
20925,치킨선생,내손동,경기도 의왕시 내손동 845,37.383603,126.973729
20927,치킨선생,태전동,경기도 광주 태전동 628,37.388807,127.22963
20928,치킨선생,산본동,경기도 군포시 산본동 226-7,37.369319,126.93931
20929,치킨선생,하안동,경기도 광명시 하안동 54-1,37.462471,126.88082299999999
20930,치킨선생,관양동,경기도 안양시 동안구 관양동 1387-22,37.403991,126.95471200000001
20934,치킨선수,남영역,서울특별시 용산구 남영동 83-1,37.542398999999996,126.97304799999999
20935,치킨선수,금호동,서울특별시 성동구 금호동3가 1665,37.550559,127.019155
20940,치킨쉐이크,금곡동,경기도 남양주시 금곡동 433-20,37.632675,127.204675
20942,치킨쉐프,시흥동,서울특별시 금천구 시흥동 994-9,37.453928999999995,126.900295
20945,치킨쉐프,산본,경기도 군포시 당동 775-21,37.348009000000005,126.94090800000001
20949,치킨스숯불바베큐,담양,전라남도 담양군 담양읍 천변리 169-8 지도,35.317677,126.98288899999999
20950,치킨스타일,서북구,충청남도 천안시 서북구 입장면 유리 122-1,36.916109000000006,127.222497
20951,치킨스토리,외발산동,서울특별시 강서구 외발산동 216-69,37.547335,126.82438
20953,치킨스토리,태백,강원도 태백시 황지동 400-23,37.160526000000004,128.97888
20956,치킨스톰,서면,부산광역시 부산진구 부전동 233-13,35.153,129.058
20960,치킨스팟,가천대,경기도 성남시 수정구 복정동 689-5,37.457122,127.126853
20963,치킨시대,명지대,서울특별시 서대문구 남가좌동 344-19,37.578136,126.923126
20964,치킨시대,광명시장,경기도 광명시 광명동 105-9,37.481506,126.85648300000001
20969,치킨시킨데이,약대동,경기도 부천시 약대동 169-84,37.510631,126.77359299999999
20973,치킨신드롬,남부동,경상남도 양산시 남부동 540-2,35.333696999999994,129.03516399999998
20975,치킨신드롬,옥포2동,경상남도 거제시 옥포2동 524-16,34.894725,128.693038
20976,치킨신드롬,벌리동,경상남도 사천시 벌리동 453-1,34.938787,128.08068500000002
20987,치킨신드롬,오송,충청북도 청주시 흥덕구 오송읍 만수리 690,36.624922999999995,127.32801699999999
20988,치킨신드롬,복대1동,충청북도 청주시 흥덕구 복대1동 2749,36.633163,127.42734499999999
20994,치킨신드롬,토성동5가,부산광역시 서구 토성동5가 51-3,35.096527,129.02155
20998,치킨신드롬,개금동,부산광역시 부산진구 개금동 447-16,35.154327,129.01718
21001,치킨신드롬,반여동,부산광역시 해운대구 반여동 1628-1,35.201658,129.123874
21002,치킨신드롬,엄궁동,부산광역시 사상구 엄궁동 530-21,35.129846,128.97186000000002
21007,치킨신드롬,용원동,경상남도 창원시 진해구 용원동 1343-6,35.087192,128.816683
21014,치킨신드롬,구갈동,경기도 용인시 기흥구 구갈동 234-2,37.272737,127.119977
21023,치킨아리랑,수유,서울시 강북구 수유2동 220-9,37.64165,127.02083
21029,치킨아이,진월면,전남 광양시 진월면 선소리 206-1,34.977575,127.75916399999998
21030,치킨아이,운암동,광주광역시 북구 운암동 958-2,35.18005,126.8731
21031,치킨아이,영광,전라남도 영광군 영광읍 단주리 629-1,35.277788,126.49920300000001
21032,치킨아이,문흥동,광주광역시 북구 문흥동 964-12,35.1894,126.92276000000001
21034,치킨아이,상암동,전라남도 여수시 상암동 510,34.826669,127.73333799999999
21036,치킨아이,매곡동,광주광역시 북구 매곡동 214-1,35.192035,126.89253300000001
21040,치킨아카데미,역동,경기도 광주 역동 5-6,37.407631,127.25656299999999
